"FileName"	"Label"	"condition"	"element"	"material"	"control.type"	"dose"	"duration"	"replica"
"GSM1708156_Coated_EC50_7d_3.txt"	"Ag.Coated.EC50.7d.3"	"Ag.Coated.EC50.7d"	"Ag"	"Coated"	NA	"EC50"	7	3
"GSM1708157_NC_EC20_7d_1.txt"	"Ag.NC.EC20.7d.1"	"Ag.NC.EC20.7d"	"Ag"	"NC"	NA	"EC20"	7	1
"GSM1708158_NC_EC20_7d_2.txt"	"Ag.NC.EC20.7d.2"	"Ag.NC.EC20.7d"	"Ag"	"NC"	NA	"EC20"	7	2
"GSM1708159_NC_EC20_7d_3.txt"	"Ag.NC.EC20.7d.3"	"Ag.NC.EC20.7d"	"Ag"	"NC"	NA	"EC20"	7	3
"GSM1708160_NC_EC50_7d_1.txt"	"Ag.NC.EC50.7d.1"	"Ag.NC.EC50.7d"	"Ag"	"NC"	NA	"EC50"	7	1
"GSM1708161_NC_EC50_7d_2.txt"	"Ag.NC.EC50.7d.2"	"Ag.NC.EC50.7d"	"Ag"	"NC"	NA	"EC50"	7	2
"GSM1708162_NC_EC50_7d_3.txt"	"Ag.NC.EC50.7d.3"	"Ag.NC.EC50.7d"	"Ag"	"NC"	NA	"EC50"	7	3
"GSM1708163_CTD_7d_1.txt"	"Ag.CTD.7d.1"	"Ag.CTD.7d"	"Ag"	NA	"CTD"	NA	7	1
"GSM1708164_CTD_7d_2.txt"	"Ag.CTD.7d.2"	"Ag.CTD.7d"	"Ag"	NA	"CTD"	NA	7	2
"GSM1708165_CTD_7d_3.txt"	"Ag.CTD.7d.3"	"Ag.CTD.7d"	"Ag"	NA	"CTD"	NA	7	3
"GSM1708166_NM300K_EC20_7d_1.txt"	"Ag.NM300K.EC20.7d.1"	"Ag.NM300K.EC20.7d"	"Ag"	"NM300K"	NA	"EC20"	7	1
"GSM1708167_NM300K_EC20_7d_2.txt"	"Ag.NM300K.EC20.7d.2"	"Ag.NM300K.EC20.7d"	"Ag"	"NM300K"	NA	"EC20"	7	2
